variable;b_model1;b_model2;b_model3;b_model4;b_model5;b_model6
(Intercept);0.920055877613807;16.2066633246493;1.07755887946725;4.47884065544263;6.0611655036923;6.12997781428995
bmi;0.0954128212291324;-0.327718681323669;NA;-0.0407193240942728;-0.0564528940708314;-0.0566665994819737
age;-0.0230500581228368;-0.239545082280224;NA;-0.0293398204476995;-0.0352909138007325;-0.0362579683085942
calories;0.256096427464434;NA;NA;NA;NA;NA
fat;-0.0102502932189752;-0.0413511620542021;NA;-0.0569497464566479;NA;NA
cholesterol;0.000903517371665024;-0.0333667623312964;NA;0.0109453002032486;NA;NA
fiber;-0.0654000741943876;0.496148213571665;NA;0.130311691879804;NA;NA
alcohol;-0.0132954429015551;-0.418458265291663;NA;NA;NA;NA
betadiet;-0.318188676992591;-3.39958547883975;NA;-2.04277723744027;-2.13079991671071;-2.16059926853224
smokstatFormer;0.224335666860893;-4.14320720138027;NA;NA;NA;NA
smokstatCurrent;1.34961049309631;-241.163753050042;NA;NA;NA;NA
sexMale;-0.170412609538712;-0.986499798663421;NA;NA;NA;NA
vituseOften;-1.37897170989571;5.97282038282559;NA;NA;-1.45992891166716;NA
vituseRarely;-1.16217115861185;0.94418823664643;NA;NA;-1.2516288714375;NA
bmi:age;NA;0.00523695571383792;NA;NA;NA;NA
bmi:fat;NA;-0.00105380689714509;NA;NA;NA;NA
bmi:cholesterol;NA;0.00100980679139789;NA;NA;NA;NA
bmi:fiber;NA;0.0201875774296533;NA;NA;NA;NA
bmi:alcohol;NA;0.0402992544368044;NA;NA;NA;NA
bmi:betadiet;NA;0.0395867054408826;NA;0.0626921204993297;NA;NA
bmi:smokstatFormer;NA;-0.0599350721829253;NA;NA;NA;NA
bmi:smokstatCurrent;NA;3.80363788966789;NA;NA;NA;NA
bmi:sexMale;NA;0.0723002627703449;NA;NA;NA;NA
bmi:vituseOften;NA;-0.382894240273329;NA;NA;NA;NA
bmi:vituseRarely;NA;-0.223868616431788;NA;NA;NA;NA
age:fat;NA;-0.000937954895046695;NA;NA;NA;NA
age:cholesterol;NA;0.000232569359400223;NA;NA;NA;NA
age:fiber;NA;-0.00616547516523092;NA;NA;NA;NA
age:alcohol;NA;-0.00139457689880373;NA;NA;NA;NA
age:betadiet;NA;0.0271002326658103;NA;NA;NA;NA
age:smokstatFormer;NA;0.0757089166431058;NA;NA;NA;NA
age:smokstatCurrent;NA;0.49176378160453;NA;NA;NA;NA
age:sexMale;NA;0.0473438070414234;NA;NA;NA;NA
age:vituseOften;NA;0.10272046096189;NA;NA;NA;NA
age:vituseRarely;NA;0.0878643834009563;NA;NA;NA;NA
fat:cholesterol;NA;8.99482117286291e-05;NA;NA;NA;NA
fat:fiber;NA;-0.00307170640439245;NA;NA;NA;NA
fat:alcohol;NA;-0.000631490818295457;NA;NA;NA;NA
fat:betadiet;NA;0.0648818184028396;NA;0.0291101741736702;NA;NA
fat:smokstatFormer;NA;0.0236850161254906;NA;NA;NA;NA
fat:smokstatCurrent;NA;2.507883606742;NA;NA;NA;NA
fat:sexMale;NA;-0.0391581227031112;NA;NA;NA;NA
fat:vituseOften;NA;0.0145161553752133;NA;NA;NA;NA
fat:vituseRarely;NA;0.0266812506653734;NA;NA;NA;NA
cholesterol:fiber;NA;-0.000882235902572224;NA;NA;NA;NA
cholesterol:alcohol;NA;0.00183806280532046;NA;NA;NA;NA
cholesterol:betadiet;NA;-0.0114203194048444;NA;-0.00435054001974346;NA;NA
cholesterol:smokstatFormer;NA;0.00780274037020817;NA;NA;NA;NA
cholesterol:smokstatCurrent;NA;0.1377152965053;NA;NA;NA;NA
cholesterol:sexMale;NA;0.00969497561176482;NA;NA;NA;NA
cholesterol:vituseOften;NA;0.0143438810547131;NA;NA;NA;NA
cholesterol:vituseRarely;NA;0.00581954504305432;NA;NA;NA;NA
fiber:alcohol;NA;-0.027034594596348;NA;NA;NA;NA
fiber:betadiet;NA;-0.0680202644457012;NA;-0.0744804649705843;NA;NA
fiber:smokstatFormer;NA;0.312196964912949;NA;NA;NA;NA
fiber:smokstatCurrent;NA;7.92119469764808;NA;NA;NA;NA
fiber:sexMale;NA;-0.238726062647468;NA;NA;NA;NA
fiber:vituseOften;NA;-0.366615568718934;NA;NA;NA;NA
fiber:vituseRarely;NA;-0.135199854565667;NA;NA;NA;NA
alcohol:betadiet;NA;-0.0504712162176705;NA;NA;NA;NA
alcohol:smokstatFormer;NA;-0.384378955538289;NA;NA;NA;NA
alcohol:smokstatCurrent;NA;-1.41952911609467;NA;NA;NA;NA
alcohol:sexMale;NA;0.117122090985217;NA;NA;NA;NA
alcohol:vituseOften;NA;-0.455264793461837;NA;NA;NA;NA
alcohol:vituseRarely;NA;0.00732610770494076;NA;NA;NA;NA
betadiet:smokstatFormer;NA;-0.688681396772711;NA;NA;NA;NA
betadiet:smokstatCurrent;NA;-44.6280310376106;NA;NA;NA;NA
betadiet:sexMale;NA;0.840386671290269;NA;NA;NA;NA
betadiet:vituseOften;NA;-0.273073124765265;NA;NA;NA;NA
betadiet:vituseRarely;NA;-0.464015599522204;NA;NA;NA;NA
smokstatFormer:sexMale;NA;-0.197401007379892;NA;NA;NA;NA
smokstatCurrent:sexMale;NA;-247.942678426292;NA;NA;NA;NA
smokstatFormer:vituseOften;NA;-4.13309414658444;NA;NA;NA;NA
smokstatCurrent:vituseOften;NA;34.6124212544781;NA;NA;NA;NA
smokstatFormer:vituseRarely;NA;-4.52975664845229;NA;NA;NA;NA
smokstatCurrent:vituseRarely;NA;-53.7188625506469;NA;NA;NA;NA
sexMale:vituseOften;NA;-1.12237880827753;NA;NA;NA;NA
sexMale:vituseRarely;NA;1.65887082043795;NA;NA;NA;NA
betadiet:bmi;NA;NA;NA;NA;0.07234640399622;0.0734236244297382
vituse_reducedUsed;NA;NA;NA;NA;NA;-1.39013718835981
