variable;b_model2;b_model3;b_model4;b_model5;b_model6
(Intercept);1.07755887946725;0.854334674812573;6.0611655036923;4.47884065544263;6.12997781428995
bmi;NA;0.0870008474718246;-0.0564528940708314;-0.0407193240942728;-0.0566665994819737
age;NA;-0.0280805276004396;-0.0352909138007325;-0.0293398204476995;-0.0362579683085942
fat;NA;-0.0553880173801151;NA;-0.0569497464566479;NA
cholesterol;NA;0.0111685137122437;NA;0.0109453002032486;NA
fiber;NA;0.144364031549176;NA;0.130311691879804;NA
betadiet;NA;-0.243438784434206;-2.13079991671071;-2.04277723744027;-2.16059926853224
fat:betadiet;NA;0.0279679667417957;NA;0.0291101741736702;NA
cholesterol:betadiet;NA;-0.00447051213750721;NA;-0.00435054001974346;NA
fiber:betadiet;NA;-0.0822127429970032;NA;-0.0744804649705843;NA
vituseOften;NA;NA;-1.45992891166716;NA;NA
vituseRarely;NA;NA;-1.2516288714375;NA;NA
betadiet:bmi;NA;NA;0.07234640399622;NA;0.0734236244297382
bmi:betadiet;NA;NA;NA;0.0626921204993297;NA
vituseUsed;NA;NA;NA;NA;-1.39013718835981
